Data,Cidade, Condicao_do_Tempo_Prevista,Temperatura_Tendencia,Temperatura_Minima,Temperatura_Maxima,Vento_Velocidade_Minima,Vento_Velocidade_Maxima,Vento_Direcao,Vento_Intensidade
01/03/2025,Abaetetuba - PA,Nublado com chuva a tarde,Estavel,23,30,76,100,NE,Fracos
02/03/2025,Abaetetuba - PA,Nublado com chuva a tarde,Estavel,23,30,79,100,NE,Fracos
03/03/2025,Abaetetuba - PA,Nublado com chuva entre o final da tarde e o inicio da noite,Estavel,23,30,74,100,NE,Fracos
07/03/2025,Abaetetuba - PA,Nublado com chuva e trovoadas a qualquer hora do dia,Declinio,22,28,75,100,E - NE,Fracos/Moderados
08/03/2025,Abaetetuba - PA,Parcialmente nublado a nublado com pancadas de chuva e trovoadas a qualquer hora do dia,Elevacao,23,30,60,100,E - NE,Fracos/Moderados
09/03/2025,Abaetetuba - PA,Parcialmente nublado a nublado com chuva e trovoadas a tarde e a noite,Elevacao,23,31,60,100,E - NE,Fracos/Moderados
10/03/2025,Abaetetuba - PA,Parcialmente nublado a nublado com chuva e trovoadas a tarde e a noite,Elevacao,23,31,60,100,E - NE,Fracos/Moderados
11/03/2025,Abaetetuba - PA,Parcialmente nublado a nublado com pancadas de chuva isoladas entre o final da tarde e o inicio da noite,Estavel,24,30,60,95,N,Fracos
12/03/2025,Abaetetuba - PA,Parcialmente nublado a nublado com pancadas de chuva isoladas entre o final da tarde e o inicio da noite,Estavel,24,30,60,95,N,Fracos
13/03/2025,Abaetetuba - PA,Parcialmente nublado a nublado com pancadas de chuva isoladas entre o final da tarde e o inicio da noite,Estavel,24,30,60,95,N,Fracos
14/03/2025,Abaetetuba - PA,Parcialmente nublado a nublado com pancadas de chuva isoladas entre o final da tarde e o inicio da noite,Estavel,24,30,60,95,N,Fracos
15/03/2025,Abaetetuba - PA,Parcialmente nublado a nublado com pancadas de chuva isoladas entre o final da tarde e o inicio da noite,Estavel,24,30,60,95,N,Fracos
16/03/2025,Abaetetuba - PA,Parcialmente nublado a nublado com pancadas de chuva isoladas entre o final da tarde e o inicio da noite,Estavel,24,30,60,95,N,Fracos
17/03/2025,Abaetetuba - PA,Parcialmente nublado a nublado com pancadas de chuva isoladas entre o final da tarde e o inicio da noite,Estavel,24,30,60,95,N,Fracos
18/03/2025,Abaetetuba - PA,Nublado com chuva a tarde,Estavel,23,30,72,100,NE,Fracos
19/03/2025,Abaetetuba - PA,Parcialmente nublado a nublado com chuva em areas isoladas a tarde,Estavel,23,31,72,100,NE,Fracos
20/03/2025,Abaetetuba - PA,Nublado com chuva a tarde,Estavel,23,30,77,100,NE,Fracos
21/03/2025,Abaetetuba - PA,Nublado com chuva a qualquer hora do dia,Estavel,23,30,72,100,NE,Fracos
22/03/2025,Abaetetuba - PA,Parcialmente nublado a nublado com chuva a tarde,Estavel,23,31,67,100,NE,Fracos
